Record ID,Institute,WorkArea,CESSATION YEAR,Reason for ceasing employment,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,Main Factor. ??Which of these was the main factor for leaving?,InstituteViews. Topic:1. I feel the senior leadership had a clear vision and direction,InstituteViews. Topic:2. I was given access to skills training to help me do my job better,InstituteViews. Topic:3. I was given adequate opportunities for personal development,InstituteViews. Topic:4. I was given adequate opportunities for promotion within %Institute]Q25LBL%,InstituteViews. Topic:5. I felt the salary for the job was right for the responsibilities I had,InstituteViews. Topic:6. The organisation recognised when staff did good work,InstituteViews. Topic:7. Management was generally supportive of me,InstituteViews. Topic:8. Management was generally supportive of my team,InstituteViews. Topic:9. I was kept informed of the changes in the organisation which would affect me,InstituteViews. Topic:10. Staff morale was positive within the Institute,InstituteViews. Topic:11. If I had a workplace issue it was dealt with quickly,InstituteViews. Topic:12. If I had a workplace issue it was dealt with efficiently,InstituteViews. Topic:13. If I had a workplace issue it was dealt with discreetly,WorkUnitViews. Topic:14. I was satisfied with the quality of the management and supervision within my work unit,WorkUnitViews. Topic:15. I worked well with my colleagues,WorkUnitViews. Topic:16. My job was challenging and interesting,WorkUnitViews. Topic:17. I was encouraged to use my initiative in the course of my work,WorkUnitViews. Topic:18. I had sufficient contact with other people in my job,WorkUnitViews. Topic:19. I was given adequate support and co-operation by my peers to enable me to do my job,WorkUnitViews. Topic:20. I was able to use the full range of my skills in my job,WorkUnitViews. Topic:21. I was able to use the full range of my abilities in my job. ; Category:Level of Agreement; Question:YOUR VIEWS ABOUT YOUR WORK UNIT],WorkUnitViews. Topic:22. I was able to use the full range of my knowledge in my job,WorkUnitViews. Topic:23. My job provided sufficient variety,WorkUnitViews. Topic:24. I was able to cope with the level of stress and pressure in my job,WorkUnitViews. Topic:25. My job allowed me to balance the demands of work and family to my satisfaction,WorkUnitViews. Topic:26. My supervisor gave me adequate personal recognition and feedback on my performance,"WorkUnitViews. Topic:27. My working environment was satisfactory e.g. sufficient space, good lighting, suitable seating and working area",WorkUnitViews. Topic:28. I was given the opportunity to mentor and coach others in order for me to pass on my skills and knowledge prior to my cessation date,WorkUnitViews. Topic:29. There was adequate communication between staff in my unit,WorkUnitViews. Topic:30. Staff morale was positive within my work unit,Induction. Did you undertake Workplace Induction?,InductionInfo. Topic:Did you undertake a Corporate Induction?,InductionInfo. Topic:Did you undertake a Institute Induction?,InductionInfo. Topic: Did you undertake Team Induction?,InductionInfo. Face to Face Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. On-line Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. Induction Manual Topic:Did you undertake a Corporate Induction?,InductionInfo. Face to Face Topic:Did you undertake a Institute Induction?,InductionInfo. On-line Topic:Did you undertake a Institute Induction?,InductionInfo. Induction Manual Topic:Did you undertake a Institute Induction?,InductionInfo. Face to Face Topic: Did you undertake Team Induction; Category?,InductionInfo. On-line Topic: Did you undertake Team Induction?process you undertook and how it was conducted.],InductionInfo. Induction Manual Topic: Did you undertake Team Induction?,Workplace. Topic:Did you and your Manager develop a Performance and Professional Development Plan (PPDP)?,Workplace. Topic:Does your workplace promote a work culture free from all forms of unlawful discrimination?,Workplace. Topic:Does your workplace promote and practice the principles of employment equity?,Workplace. Topic:Does your workplace value the diversity of its employees?,Workplace. Topic:Would you recommend the Institute as an employer to others?,Gender. What is your Gender?,CurrentAge. Current Age,Employment Type. Employment Type,Classification. Classification,LengthofServiceOverall. Overall Length of Service at Institute (in years),LengthofServiceCurrent. Length of Service at current workplace (in years)
6.34E+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,No,Yes,Yes,-,-,-,,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,41 ?45,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
6.34E+17,Barrier Reef Institute of TAFE,Delivery (teaching),2010,Retrenchment/ Redundancy,,,,,,,,,,,,,,Agree,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,,,,,,,,,,,,,No,No,No,Yes,Yes,Male,56 or older,Permanent Part-time,Tutor,11-20,11-20
6.34E+17,Barrier Reef Institute of TAFE,Delivery (teaching),2010,Retrenchment/ Redundancy,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Yes,,,,-,-,-,Face to Face,-,Induction Manual,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,51-55,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.34E+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Female,31 ?35,Temporary Full-time,Administration (AO),11-20,Less than 1 year
6.34E+17,Central Queensland Institute of TAFE,Delivery (teaching),2010,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Career Move - Private Sector,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Yes,Yes,No,No,-,-,-,-,-,-,-,-,-,No,Yes,Yes,Yes,No,Female,31 ?35,Permanent Part-time,Teacher (including LVT),7-10,7-10
6.34E+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Strongly Disagree,Agree,Agree,Not Applicable,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Female,46 ?50,Permanent Part-time,Technical Officer (TO),11-20,11-20
6.34E+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34E+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010,Resignation,Career Move - Public Sector,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Job Dissatisfaction,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Strongly Disagree,Yes,No,Yes,No,-,-,-,Face to Face,-,-,-,-,-,Yes,Yes,Yes,Yes,No,Female,31 ?35,Permanent Full-time,Administration (AO),7-10,1-2
6.34E+17,Brisbane North Institute of TAFE,Delivery (teaching),2010,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34E+17,Southbank Institute of Technology,Non-Delivery (corporate),2010,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34E+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Job Dissatisfaction,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Not Applicable,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,No,,,,,,,,,,,,,No,Yes,Yes,Yes,No,,,,,,
6.34E+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34E+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Other,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,No,Male,26 ?30,Temporary Full-time,Administration (AO),5-6,5-6
6.34E+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,-,-,-,-,-,-,-,-,-,-,-,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Yes,,,,-,On-line,-,-,On-line,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,26 ?30,Contract/casual,Administration (AO),Less than 1 year,Less than 1 year
6.34E+17,Central Queensland Institute of TAFE,Delivery (teaching),2010,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Yes,Yes,No,Yes,-,On-line,-,Face to Face,-,-,-,-,-,No,Yes,Yes,Yes,No,Female,31 ?35,Permanent Part-time,Teacher (including LVT),7-10,7-10
6.34E+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010,Contract Expired,,,,,,,,,,,,,,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Female,41 ?45,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34E+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Dissatisfaction with %[Institute]Q25LBL%,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Not Applicable,Strongly Disagree,Strongly Disagree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,Yes,Yes,No,No,No,,,,,,
6.34E+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,56 or older,Temporary Full-time,Administration (AO),More than 20 years,7-10
6.34E+17,Central Queensland Institute of TAFE,Delivery (teaching),2010,Retirement,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34E+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Agree,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Female,31 ?35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34E+17,Southbank Institute of Technology,Non-Delivery (corporate),2010,Contract Expired,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,,Yes,Yes,-,-,-,,-,Induction Manual,-,-,-,No,Yes,Yes,Yes,Yes,,,,,,
6.34E+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010,Contract Expired,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes,No,Yes,Face to Face,-,-,Face to Face,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,26 ?30,Temporary Full-time,Tutor,Less than 1 year,Less than 1 year
6.34E+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Female,46 ?50,Temporary Part-time,Professional Officer (PO),Less than 1 year,Less than 1 year
6.34E+17,Tropical North Institute of TAFE,Non-Delivery (corporate),2010,Retirement,-,-,-,-,-,-,-,-,-,Travel,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34E+17,Central Queensland Institute of TAFE,Delivery (teaching),2010,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Yes,No,Yes,No,-,-,-,-,-,,-,-,-,No,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
